STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,year,month,day,RAINFALL
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-12,0.0,0.0,0.0,35,2015,2,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-13,0.0,0.0,0.0,20,2015,2,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-14,0.21,2.6,0.0,24,2015,2,14,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-15,0.0,0.0,1.2,14,2015,2,15,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-16,0.19,2.0,1.2,10,2015,2,16,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-17,0.18,1.8,3.1,17,2015,2,17,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-18,0.0,0.0,3.1,18,2015,2,18,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-19,0.0,0.0,1.2,16,2015,2,19,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-20,0.0,0.0,1.2,9,2015,2,20,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-21,0.92,6.3,1.2,12,2015,2,21,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-22,0.13,0.0,3.1,35,2015,2,22,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-23,0.0,0.0,1.2,32,2015,2,23,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-24,0.0,0.0,1.2,15,2015,2,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-25,0.0,0.0,1.2,24,2015,2,25,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-26,0.11,1.5,2.0,31,2015,2,26,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-27,0.0,0.0,2.0,28,2015,2,27,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-02-28,0.0,0.0,1.2,22,2015,2,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-01,0.61,0.3,1.2,23,2015,3,1,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-02,0.0,0.0,1.2,35,2015,3,2,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-03,0.12,0.0,0.0,28,2015,3,3,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-04,0.41,0.0,0.0,38,2015,3,4,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-05,0.89,6.2,0.0,34,2015,3,5,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-06,0.0,0.0,5.1,19,2015,3,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-07,0.0,0.0,3.9,23,2015,3,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-08,0.0,0.0,0.0,42,2015,3,8,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-09,0.0,0.0,0.0,43,2015,3,9,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-10,0.5,0.0,0.0,41,2015,3,10,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-11,0.0,0.0,0.0,51,2015,3,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-12,0.0,0.0,0.0,49,2015,3,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-13,0.04,0.0,0.0,40,2015,3,13,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-14,0.72,0.0,0.0,46,2015,3,14,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-15,0.0,0.0,0.0,49,2015,3,15,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-16,0.0,0.0,0.0,43,2015,3,16,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-17,0.0,0.0,0.0,54,2015,3,17,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-18,0.0,0.0,0.0,39,2015,3,18,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-19,0.0,0.0,0.0,38,2015,3,19,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-20,0.69,1.2,0.0,35,2015,3,20,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-21,0.0,0.0,0.0,40,2015,3,21,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-22,0.0,0.0,0.0,46,2015,3,22,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-23,0.0,0.0,0.0,39,2015,3,23,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-24,0.0,0.0,0.0,38,2015,3,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-25,0.01,0.0,0.0,35,2015,3,25,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-26,0.2,0.0,0.0,52,2015,3,26,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-27,0.43,0.0,0.0,47,2015,3,27,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-28,0.0,0.0,0.0,35,2015,3,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-29,0.0,0.0,0.0,32,2015,3,29,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-30,0.02,0.0,0.0,45,2015,3,30,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-03-31,0.03,0.0,0.0,52,2015,3,31,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-01,0.0,0.0,0.0,45,2015,4,1,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-02,0.0,0.0,0.0,51,2015,4,2,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-03,0.09,0.0,0.0,63,2015,4,3,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-04,0.01,0.0,0.0,58,2015,4,4,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-05,0.0,0.0,0.0,51,2015,4,5,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-06,0.0,0.0,0.0,56,2015,4,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-07,0.12,0.0,0.0,63,2015,4,7,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-08,0.72,0.0,0.0,47,2015,4,8,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-09,0.58,0.0,0.0,43,2015,4,9,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-10,0.03,0.0,0.0,46,2015,4,10,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-11,0.0,0.0,0.0,56,2015,4,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-12,0.0,0.0,0.0,51,2015,4,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-13,0.0,0.0,0.0,58,2015,4,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-14,0.36,0.0,0.0,58,2015,4,14,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-15,0.0,0.0,0.0,56,2015,4,15,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-16,0.02,0.0,0.0,58,2015,4,16,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-17,0.25,0.0,0.0,64,2015,4,17,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-18,0.0,0.0,0.0,67,2015,4,18,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-19,0.14,0.0,0.0,61,2015,4,19,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-20,1.35,0.0,0.0,64,2015,4,20,Moderate Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-21,0.1,0.0,0.0,61,2015,4,21,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-22,0.02,0.0,0.0,54,2015,4,22,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-23,0.0,0.0,0.0,48,2015,4,23,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-24,0.0,0.0,0.0,47,2015,4,24,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-25,0.18,0.0,0.0,45,2015,4,25,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-26,0.0,0.0,0.0,51,2015,4,26,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-27,0.0,0.0,0.0,50,2015,4,27,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-28,0.0,0.0,0.0,56,2015,4,28,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-29,0.0,0.0,0.0,61,2015,4,29,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-04-30,0.33,0.0,0.0,61,2015,4,30,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-01,0.0,0.0,0.0,55,2015,5,1,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-02,0.0,0.0,0.0,58,2015,5,2,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-03,0.0,0.0,0.0,65,2015,5,3,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-04,0.0,0.0,0.0,69,2015,5,4,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-05,0.01,0.0,0.0,73,2015,5,5,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-06,0.0,0.0,0.0,69,2015,5,6,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-07,0.0,0.0,0.0,68,2015,5,7,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-08,0.0,0.0,0.0,70,2015,5,8,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-09,0.01,0.0,0.0,69,2015,5,9,Slight Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-10,0.0,0.0,0.0,73,2015,5,10,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-11,0.0,0.0,0.0,73,2015,5,11,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-12,0.0,0.0,0.0,75,2015,5,12,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-13,0.0,0.0,0.0,66,2015,5,13,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-14,0.0,0.0,0.0,59,2015,5,14,No Rain
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0015-05-15,0.0,0.0,0.0,62,2015,5,15,No Rain
